DD/MM/AAAA, HH:MMaa - name surname file.jpg aaaaaaaa aabcde abcdfeef
0 0 0 0 0 0 0 0 0
0 0 0 0 0 120 0 0 0
0 0 0 0 0 0 0 0 0
2750 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 120 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
220 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
120 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 120 0 0 0
0 0 0 0 0 0 0 0 0
110 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
120 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 120 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
110 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 115 0 0 0
0 0 0 0 0 0 0 0 0
110 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
120 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
120 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
120 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 120 0 0
0 0 0 0 0 2280 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 105 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
350 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
110 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 120 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 110 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 120 0 0 0
0 0 0 0 0 0 0 0 0
110 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
220 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
110 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
120 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
115 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
120 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1400 0 0
0 0 0 0 0 0 0 0 0
115 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
110 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
100 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
110 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
115 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
115 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 335 0 530 0 0 0 0 0
0 0 0 0 0 0 0 0 0
120 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
120 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 115 0 0 0
0 0 0 0 0 0 0 0 0
120 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 120 0 0 0
0 0 0 0 0 0 0 0 0
110 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 120 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 650 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 220 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
240 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 120 0 0 0
0 0 0 0 0 0 0 0 0
580 0 0 0 0 0 0 0 0
